id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status,label
967467615,0,33934,0,29,29.92,93468.63,42.91,1531215,b0,cigarro
967467615,0,34621,1,34,30.27,93473.70,43.03,304943.41,b0,cigarro
967467615,0,35406,2,39,29.46,93465.56,42.97,66788280,b0,cigarro
967467615,0,36093,3,44,30.08,93468.64,43.16,403149.59,b0,cigarro
967467615,0,36780,4,49,30.02,93469.20,43.18,2713481.25,b0,cigarro
967467615,0,41174,0,29,29.96,93465.56,43.29,1439718.75,b0,cigarro
967467615,0,41861,1,34,30.30,93464.70,43.34,292906.19,b0,cigarro
967467615,0,42646,2,39,29.49,93465.94,43.22,63673548,b0,cigarro
967467615,0,43333,3,44,30.11,93467.66,43.39,394073.50,b0,cigarro
967467615,0,44020,4,49,30.04,93466.73,43.41,2607256.50,b0,cigarro
967467615,0,48414,0,29,29.98,93468.65,43.59,1381450.25,b0,cigarro
967467615,0,49101,1,34,30.33,93475.94,43.67,287237.03,b0,cigarro
967467615,0,49886,2,39,29.51,93471.44,43.56,61305892,b0,cigarro
967467615,0,50573,3,44,30.14,93466.73,43.71,384096.03,b0,cigarro
967467615,0,51260,4,49,30.07,93468.56,43.71,2563204,b0,cigarro
967467615,0,55654,0,29,29.99,93471.59,43.70,1360797.37,b0,cigarro
967467615,0,56439,1,34,30.35,93468.63,43.76,284602.56,b0,cigarro
967467615,0,57126,2,39,29.53,93471.91,43.62,59877568,b0,cigarro
967467615,0,57813,3,44,30.15,93472.04,43.76,380245.09,b0,cigarro
967467615,0,58500,4,49,30.08,93472.91,43.77,2515970.50,b0,cigarro
967467615,0,62894,0,29,30.03,93467.37,43.79,1323852.62,b0,cigarro
967467615,0,63679,1,34,30.37,93468.09,43.85,279934.38,b0,cigarro
967467615,0,64366,2,39,29.55,93470.23,43.72,58829444,b0,cigarro
967467615,0,65053,3,44,30.17,93468.49,43.86,378138.84,b0,cigarro
967467615,0,65740,4,49,30.11,93469.70,43.87,2504433,b0,cigarro
967467615,0,70134,0,29,30.09,93471.82,43.87,1311139.62,b0,cigarro
967467615,0,70919,1,34,30.44,93468.27,43.92,279019.06,b0,cigarro
967467615,0,71606,2,39,29.63,93466.77,43.79,58009296,b0,cigarro
967467615,0,72293,3,44,30.25,93468.02,43.95,365714.28,b0,cigarro
967467615,0,72980,4,49,30.19,93472.20,43.96,2483929.75,b0,cigarro
967467615,0,77374,0,29,30.15,93464,44.05,1322570.25,b0,cigarro
967467615,0,78159,1,34,30.49,93467.12,44.11,276085.19,b0,cigarro
967467615,0,78846,2,39,29.68,93468.25,43.98,57286712,b0,cigarro
967467615,0,79533,3,44,30.30,93459.15,44.11,363765.53,b0,cigarro
967467615,0,80220,4,49,30.22,93469.19,44.09,2441728.75,b0,cigarro
967467615,0,84614,0,29,30.19,93466.41,43.90,1296202.50,b0,cigarro
