id,index,millis,gas_index,mes_index,temperature,pressure,humidity,gas_resistance,status,label
967467615,0,158566,2,39,26.91,93282.73,41.88,57970808.00,b0,natural air
967467615,0,159253,3,44,27.48,93284.59,42.00,363765.53,b0,natural air
967467615,0,164056,0,79,27.32,93287.43,42.00,1514232.87,b0,natural air
967467615,0,168521,0,29,27.27,93282.49,42.04,1435178.75,b0,natural air
967467615,0,169208,1,34,27.61,93280.32,42.09,286513.72,b0,natural air
967467615,0,169993,2,39,26.82,93283.78,41.96,58241280.00,b0,natural air
967467615,0,170680,3,44,27.42,93284.51,42.09,359550.56,b0,natural air
967467615,0,171367,4,49,27.35,93281.07,42.09,2361487.50,b0,natural air
967467615,0,175761,0,29,27.24,93282.05,42.11,1469153.50,b0,natural air
967467615,0,176448,1,34,27.56,93280.80,42.15,289429.06,b0,natural air
967467615,0,177233,2,39,26.76,93286.07,42.03,60836388.00,b0,natural air
967467615,0,177920,3,44,27.37,93283.58,42.16,370477.56,b0,natural air
967467615,0,178607,4,49,27.31,93283.27,42.17,2443914.00,b0,natural air
967467615,0,183001,0,29,27.23,93285.08,42.19,1515073.00,b0,natural air
967467615,0,183786,1,34,27.57,93295.91,42.24,293915.03,b0,natural air
967467615,0,184473,2,39,26.76,93288.08,42.11,60794064.00,b0,natural air
967467615,0,185160,3,44,27.37,93282.20,42.24,367288.38,b0,natural air
967467615,0,185847,4,49,27.30,93283.37,42.23,2422235.25,b0,natural air
967467615,0,190241,0,29,27.20,93283.05,42.23,1517599.12,b0,natural air
967467615,0,191026,1,34,27.51,93287.81,42.28,300910.97,b0,natural air
967467615,0,191713,2,39,26.71,93285.70,42.13,63396372.00,b0,natural air
967467615,0,192400,3,44,27.32,93283.42,42.28,385179.63,b0,natural air
967467615,0,193087,4,49,27.25,93282.39,42.27,2553616.00,b0,natural air
967467615,0,197481,0,29,27.18,93282.55,42.28,1577204.50,b0,natural air
967467615,0,198266,1,34,27.51,93285.07,42.33,299590.41,b0,natural air
967467615,0,198953,2,39,26.71,93288.11,42.19,62849196.00,b0,natural air
967467615,0,199640,3,44,27.31,93284.67,42.33,378138.84,b0,natural air
967467615,0,200327,4,49,27.24,93286.23,42.32,2483929.75,b0,natural air
967467615,0,204721,0,29,27.14,93283.37,42.33,1557414.50,b0,natural air
967467615,0,205506,1,34,27.47,93288.03,42.38,300117.22,b0,natural air
967467615,0,206193,2,39,26.67,93284.91,42.24,64188052.00,b0,natural air
967467615,0,206880,3,44,27.27,93282.69,42.37,381520.13,b0,natural air
967467615,0,207567,4,49,27.21,93286.23,42.39,2506732.00,b0,natural air
967467615,0,211971,0,29,27.12,93281.28,42.39,1568147.00,b0,natural air
967467615,0,212658,1,34,27.44,93287.98,42.44,301176.47,b0,natural air
967467615,0,213443,2,39,26.66,93287.36,42.31,64472208.00,b0,natural air
967467615,0,214130,3,44,27.26,93286.71,42.44,386488.03,b0,natural air
967467615,0,214817,4,49,27.18,93280.16,42.45,2568025.00,b0,natural air
967467615,0,219211,0,29,27.10,93281.18,42.45,1621215.12,b0,natural air
967467615,0,219996,1,34,27.43,93286.24,42.51,304943.41,b0,natural air
967467615,0,220683,2,39,26.65,93289.59,42.38,66081168.00,b0,natural air
967467615,0,221370,3,44,27.25,93287.97,42.51,392713.31,b0,natural air
967467615,0,222057,4,49,27.19,93289.29,42.52,2602287.25,b0,natural air
967467615,0,226451,0,29,27.09,93281.22,42.49,1651612.87,b0,natural air
967467615,0,227236,1,34,27.42,93286.29,42.55,310773.91,b0,natural air
967467615,0,227923,2,39,26.63,93285.70,42.41,68248896.00,b0,natural air
967467615,0,228610,3,44,27.23,93284.51,42.55,401489.91,b0,natural air
967467615,0,229297,4,49,27.15,93282.30,42.53,2700066.00,b0,natural air
967467615,0,233691,0,29,27.07,93289.68,42.53,1711659.00,b0,natural air
967467615,0,234476,1,34,27.40,93284.02,42.58,314496.31,b0,natural air
967467615,0,235163,2,39,26.61,93283.63,42.45,70167024.00,b0,natural air
967467615,0,235850,3,44,27.22,93286.95,42.57,404104.19,b0,natural air
967467615,0,236537,4,49,27.14,93286.53,42.56,2694736.75,b0,natural air
967467615,0,240941,0,29,27.05,93282.41,42.55,1717040.50,b0,natural air
967467615,0,241726,1,34,27.39,93283.68,42.61,313629.41,b0,natural air
967467615,0,242413,2,39,26.61,93288.81,42.48,69167280.00,b0,natural air
967467615,0,243100,3,44,27.20,93282.66,42.60,401253.91,b0,natural air
967467615,0,243787,4,49,27.13,93285.61,42.61,2700066.00,b0,natural air
967467615,0,248181,0,29,27.04,93283.69,42.59,1711659.00,b0,natural air
967467615,0,248966,1,34,27.38,93285.13,42.65,319202.00,b0,natural air
967467615,0,250339,3,44,27.20,93285.84,42.64,406510.53,b0,natural air
967467615,0,251026,4,49,27.14,93288.36,42.65,2708099.25,b0,natural air
